oid,locIndex,geoid10,csaName,walkIndex
"33488",33.86803,"80010078011","Denver-Aurora-Boulder, CO","16"
"33489",33.02807,"80010078012","Denver-Aurora-Boulder, CO","15"
"33490",21.6206,"80010078021","Denver-Aurora-Boulder, CO","14"
"33491",22.36489,"80010078022","Denver-Aurora-Boulder, CO","11"
"33492",32.75699,"80010078023","Denver-Aurora-Boulder, CO","14"
"33493",39.40491,"80010079001","Denver-Aurora-Boulder, CO","13"
"33494",23.34862,"80010079002","Denver-Aurora-Boulder, CO","15"
"33495",42.89029,"80010079003","Denver-Aurora-Boulder, CO","11"
"33496",37.47728,"80010079004","Denver-Aurora-Boulder, CO","13"
"33497",43.82967,"80010080001","Denver-Aurora-Boulder, CO","11"
"33498",31.37437,"80010080002","Denver-Aurora-Boulder, CO","13"
"33499",36.61196,"80010080003","Denver-Aurora-Boulder, CO","13"
"33500",44.7957,"80010080004","Denver-Aurora-Boulder, CO","10"
"33501",42.31401,"80010080005","Denver-Aurora-Boulder, CO","12"
"33502",41.60688,"80010080006","Denver-Aurora-Boulder, CO","13"
"33503",36.78499,"80010081001","Denver-Aurora-Boulder, CO","12"
"33504",46.09924,"80010082001","Denver-Aurora-Boulder, CO","14"
"33505",41.8305,"80010082002","Denver-Aurora-Boulder, CO","11"
"33506",42.04781,"80010082003","Denver-Aurora-Boulder, CO","13"
"33507",48.74232,"80010083081","Denver-Aurora-Boulder, CO","12"
"33508",35.7988,"80010083082","Denver-Aurora-Boulder, CO","17"
"33509",39.85317,"80010083083","Denver-Aurora-Boulder, CO","13"
"33510",49.33418,"80010083091","Denver-Aurora-Boulder, CO","7"
"33511",47.87858,"80010083092","Denver-Aurora-Boulder, CO","15"
"33512",34.43349,"80010083093","Denver-Aurora-Boulder, CO","15"
"33513",56.90241,"80010083531","Denver-Aurora-Boulder, CO","4"
"33514",50.78968,"80010083532","Denver-Aurora-Boulder, CO","11"
"33515",47.69614,"80010083533","Denver-Aurora-Boulder, CO","6"
"33516",43.978,"80010083534","Denver-Aurora-Boulder, CO","12"
"33517",41.07843,"80010083535","Denver-Aurora-Boulder, CO","12"
"33518",63.42805,"80010084011","Denver-Aurora-Boulder, CO","3"
"33519",48.24162,"80010084012","Denver-Aurora-Boulder, CO","8"
"33520",57.97896,"80010084021","Denver-Aurora-Boulder, CO","4"
"33521",45.99638,"80010084022","Denver-Aurora-Boulder, CO","8"
"33522",41.35872,"80010085051","Denver-Aurora-Boulder, CO","11"
"33523",53.04425,"80010085052","Denver-Aurora-Boulder, CO","12"
"33524",46.60229,"80010085053","Denver-Aurora-Boulder, CO","15"
"33525",46.12235,"80010085054","Denver-Aurora-Boulder, CO","13"
"33526",38.50123,"80010085055","Denver-Aurora-Boulder, CO","13"
"33527",50.41697,"80010085056","Denver-Aurora-Boulder, CO","15"
"33528",32.29137,"80010085061","Denver-Aurora-Boulder, CO","16"
"33529",38.15608,"80010085062","Denver-Aurora-Boulder, CO","14"
"33530",39.05983,"80010085063","Denver-Aurora-Boulder, CO","11"
"33531",34.79052,"80010085064","Denver-Aurora-Boulder, CO","14"
"33532",46.7483,"80010085071","Denver-Aurora-Boulder, CO","6"
"33533",39.70707,"80010085072","Denver-Aurora-Boulder, CO","11"
"33534",48.99611,"80010085073","Denver-Aurora-Boulder, CO","13"
"33535",43.97257,"80010085074","Denver-Aurora-Boulder, CO","15"
"33536",53.15885,"80010085075","Denver-Aurora-Boulder, CO","14"
"33537",51.45691,"80010085081","Denver-Aurora-Boulder, CO","14"
"33538",46.41472,"80010085082","Denver-Aurora-Boulder, CO","13"
"33539",49.2801,"80010085083","Denver-Aurora-Boulder, CO","16"
"33540",57.9402,"80010085231","Denver-Aurora-Boulder, CO","10"
"33541",58.3382,"80010085232","Denver-Aurora-Boulder, CO","5"
"33542",51.0563,"80010085233","Denver-Aurora-Boulder, CO","13"
"33543",,"80010085234","Denver-Aurora-Boulder, CO","1"
"33544",47.97657,"80010085241","Denver-Aurora-Boulder, CO","7"
"33545",49.07386,"80010085242","Denver-Aurora-Boulder, CO","12"
"33546",50.09884,"80010085243","Denver-Aurora-Boulder, CO","12"
"33547",53.937,"80010085244","Denver-Aurora-Boulder, CO","8"
"33548",49.06127,"80010085245","Denver-Aurora-Boulder, CO","11"
"33549",50.38154,"80010085261","Denver-Aurora-Boulder, CO","7"
"33550",53.55137,"80010085262","Denver-Aurora-Boulder, CO","6"
"33551",44.51934,"80010085263","Denver-Aurora-Boulder, CO","7"
"33552",50.8108,"80010085264","Denver-Aurora-Boulder, CO","7"
"33553",53.93161,"80010085265","Denver-Aurora-Boulder, CO","7"
"33554",46.07862,"80010085291","Denver-Aurora-Boulder, CO","8"
"33555",42.45928,"80010085292","Denver-Aurora-Boulder, CO","16"
"33556",40.55063,"80010085293","Denver-Aurora-Boulder, CO","15"
"33557",44.16804,"80010085331","Denver-Aurora-Boulder, CO","14"
"33558",42.32675,"80010085332","Denver-Aurora-Boulder, CO","9"
"33559",50.32965,"80010085341","Denver-Aurora-Boulder, CO","6"
"33560",48.1786,"80010085342","Denver-Aurora-Boulder, CO","13"
"33561",48.45842,"80010085343","Denver-Aurora-Boulder, CO","13"
"33562",50.94777,"80010085351","Denver-Aurora-Boulder, CO","10"
"33563",52.65202,"80010085361","Denver-Aurora-Boulder, CO","10"
"33564",52.04421,"80010085371","Denver-Aurora-Boulder, CO","6"
"33565",,"80010085381","Denver-Aurora-Boulder, CO","1"
"33566",56.48393,"80010085382","Denver-Aurora-Boulder, CO","13"
"33567",52.77511,"80010085391","Denver-Aurora-Boulder, CO","12"
"33568",56.29871,"80010085401","Denver-Aurora-Boulder, CO","6"
"33569",66.6285,"80010085411","Denver-Aurora-Boulder, CO","5"
"33570",51.022,"80010085421","Denver-Aurora-Boulder, CO","13"
"33571",53.48183,"80010085422","Denver-Aurora-Boulder, CO","4"
"33572",52.73976,"80010085431","Denver-Aurora-Boulder, CO","8"
"33573",58.05086,"80010085432","Denver-Aurora-Boulder, CO","11"
"33574",47.37109,"80010085433","Denver-Aurora-Boulder, CO","15"
"33575",57.0447,"80010085434","Denver-Aurora-Boulder, CO","11"
"33576",33.63831,"80010085435","Denver-Aurora-Boulder, CO","11"
"33577",54.59329,"80010085441","Denver-Aurora-Boulder, CO","10"
"33578",48.26204,"80010085451","Denver-Aurora-Boulder, CO","12"
"33579",47.82679,"80010085452","Denver-Aurora-Boulder, CO","13"
"33580",53.34048,"80010085453","Denver-Aurora-Boulder, CO","10"
"33581",50.73944,"80010085454","Denver-Aurora-Boulder, CO","12"
"33582",49.10085,"80010085455","Denver-Aurora-Boulder, CO","13"
"33583",49.12318,"80010085461","Denver-Aurora-Boulder, CO","5"
"33584",48.5497,"80010085462","Denver-Aurora-Boulder, CO","15"
"33585",47.81763,"80010085471","Denver-Aurora-Boulder, CO","12"
"33586",49.09214,"80010085472","Denver-Aurora-Boulder, CO","16"
"33587",49.22507,"80010085481","Denver-Aurora-Boulder, CO","5"
"33588",47.01564,"80010085491","Denver-Aurora-Boulder, CO","11"
"33589",46.22548,"80010085492","Denver-Aurora-Boulder, CO","10"
"33590",48.49263,"80010085501","Denver-Aurora-Boulder, CO","13"
"33591",44.70053,"80010085502","Denver-Aurora-Boulder, CO","11"
"33592",52.2172,"80010085503","Denver-Aurora-Boulder, CO","10"
"33593",47.48765,"80010085504","Denver-Aurora-Boulder, CO","12"
"33594",50.05895,"80010085511","Denver-Aurora-Boulder, CO","11"
"33595",35.85762,"80010086031","Denver-Aurora-Boulder, CO","16"
"33596",47.64629,"80010086041","Denver-Aurora-Boulder, CO","13"
"33597",42.02177,"80010086042","Denver-Aurora-Boulder, CO","17"
"33598",42.50689,"80010086051","Denver-Aurora-Boulder, CO","17"
"33599",52.09378,"80010086052","Denver-Aurora-Boulder, CO","8"
"33600",41.57226,"80010086061","Denver-Aurora-Boulder, CO","15"
"33601",43.16345,"80010086062","Denver-Aurora-Boulder, CO","12"
"33602",44.83376,"80010086063","Denver-Aurora-Boulder, CO","15"
"33603",47.19918,"80010087051","Denver-Aurora-Boulder, CO","13"
"33604",44.68529,"80010087052","Denver-Aurora-Boulder, CO","13"
"33605",40.00256,"80010087053","Denver-Aurora-Boulder, CO","12"
"33606",47.821,"80010087054","Denver-Aurora-Boulder, CO","17"
"33607",38.76954,"80010087061","Denver-Aurora-Boulder, CO","17"
"33608",40.17916,"80010087062","Denver-Aurora-Boulder, CO","15"
"33609",43.22051,"80010087063","Denver-Aurora-Boulder, CO","11"
"33610",43.25373,"80010087091","Denver-Aurora-Boulder, CO","15"
"33611",33.95589,"80010087092","Denver-Aurora-Boulder, CO","14"
"33612",25.29464,"80010087093","Denver-Aurora-Boulder, CO","12"
"33613",35.88304,"80010087094","Denver-Aurora-Boulder, CO","15"
"33614",33.99965,"80010087095","Denver-Aurora-Boulder, CO","12"
"33615",45.05094,"80010088011","Denver-Aurora-Boulder, CO","7"
"33616",44.60485,"80010088012","Denver-Aurora-Boulder, CO","11"
"33617",41.2988,"80010088013","Denver-Aurora-Boulder, CO","16"
"33618",42.33214,"80010088021","Denver-Aurora-Boulder, CO","12"
"33619",46.65606,"80010088022","Denver-Aurora-Boulder, CO","14"
"33620",37.00734,"80010088023","Denver-Aurora-Boulder, CO","5"
"33621",47.15809,"80010089011","Denver-Aurora-Boulder, CO","13"
"33622",48.55526,"80010089012","Denver-Aurora-Boulder, CO","13"
"33623",43.86159,"80010090011","Denver-Aurora-Boulder, CO","15"
"33624",43.83369,"80010090012","Denver-Aurora-Boulder, CO","17"
"33625",38.55907,"80010090021","Denver-Aurora-Boulder, CO","6"
"33626",41.56609,"80010090022","Denver-Aurora-Boulder, CO","12"
"33627",43.03517,"80010090023","Denver-Aurora-Boulder, CO","12"
"33628",47.26514,"80010090024","Denver-Aurora-Boulder, CO","13"
"33629",41.906,"80010090025","Denver-Aurora-Boulder, CO","12"
"33630",52.26131,"80010091011","Denver-Aurora-Boulder, CO","11"
"33631",46.78289,"80010091012","Denver-Aurora-Boulder, CO","12"
"33632",48.27693,"80010091013","Denver-Aurora-Boulder, CO","11"
"33633",45.71517,"80010091031","Denver-Aurora-Boulder, CO","10"
"33634",37.04152,"80010091032","Denver-Aurora-Boulder, CO","3"
"33635",47.64518,"80010091041","Denver-Aurora-Boulder, CO","6"
"33636",45.97065,"80010091042","Denver-Aurora-Boulder, CO","12"
"33637",41.71067,"80010092021","Denver-Aurora-Boulder, CO","12"
"33638",43.48276,"80010092022","Denver-Aurora-Boulder, CO","12"
"33639",46.02149,"80010092023","Denver-Aurora-Boulder, CO","14"
"33640",40.36972,"80010092031","Denver-Aurora-Boulder, CO","14"
"33641",27.98404,"80010092032","Denver-Aurora-Boulder, CO","15"
"33642",34.90859,"80010092033","Denver-Aurora-Boulder, CO","15"
"33643",44.58427,"80010092041","Denver-Aurora-Boulder, CO","14"
"33644",47.88641,"80010092042","Denver-Aurora-Boulder, CO","16"
"33645",46.99134,"80010092043","Denver-Aurora-Boulder, CO","13"
"33646",44.94042,"80010092061","Denver-Aurora-Boulder, CO","16"
"33647",41.01855,"80010092071","Denver-Aurora-Boulder, CO","10"
"33648",46.55765,"80010092072","Denver-Aurora-Boulder, CO","12"
"33649",50.15364,"80010093041","Denver-Aurora-Boulder, CO","10"
"33650",46.94629,"80010093042","Denver-Aurora-Boulder, CO","15"
"33651",37.83698,"80010093043","Denver-Aurora-Boulder, CO","12"
"33652",43.85399,"80010093044","Denver-Aurora-Boulder, CO","14"
"33653",38.74265,"80010093045","Denver-Aurora-Boulder, CO","14"
"33654",35.75841,"80010093061","Denver-Aurora-Boulder, CO","16"
"33655",42.79077,"80010093062","Denver-Aurora-Boulder, CO","14"
"33656",41.83953,"80010093071","Denver-Aurora-Boulder, CO","17"
"33657",43.91354,"80010093072","Denver-Aurora-Boulder, CO","14"
"33658",46.67908,"80010093081","Denver-Aurora-Boulder, CO","12"
"33659",44.46492,"80010093082","Denver-Aurora-Boulder, CO","11"
"33660",35.17215,"80010093083","Denver-Aurora-Boulder, CO","12"
"33661",32.48242,"80010093084","Denver-Aurora-Boulder, CO","17"
"33662",36.54276,"80010093091","Denver-Aurora-Boulder, CO","15"
"33663",41.53525,"80010093092","Denver-Aurora-Boulder, CO","11"
"33664",47.85756,"80010093101","Denver-Aurora-Boulder, CO","12"
"33665",46.12623,"80010093102","Denver-Aurora-Boulder, CO","12"
"33666",43.63382,"80010093103","Denver-Aurora-Boulder, CO","12"
